CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Data_Nome_Empresarial;Nome_Empresarial_Anterior;Data_Constituicao;Codigo_CVM;Data_Registro_CVM;Categoria_Registro_CVM;Data_Categoria_Registro_CVM;Situacao_Registro_CVM;Data_Situacao_Registro_CVM;Pais_Origem;Pais_Custodia_Valores_Mobiliarios;Setor_Atividade;Descricao_Atividade;Situacao_Emissor;Data_Situacao_Emissor;Especie_Controle_Acionario;Data_Especie_Controle_Acionario;Dia_Encerramento_Exercicio_Social;Mes_Encerramento_Exercicio_Social;Data_Alteracao_Exercicio_Social;Pagina_Web
00.000.000/0001-91;2015-01-01;4;44187;BANCO DO BRASIL S.A.;;;1808-10-12;001023;1977-07-20;Categoria A;2010-01-01;Ativo;1977-07-20;Brasil;Brasil;Bancos;Banco múltiplo.;Fase Operacional;1977-07-20;Estatal;;31;12;;www.bb.com.br
00.000.208/0001-00;2015-01-01;3;46823;BRB-BANCO DE BRASILIA SA;1986-01-16;BANCO REGIONAL DE BRASILIA SA - BRB;1964-12-10;014206;1993-09-24;Categoria A;2010-01-01;Ativo;1993-09-24;Brasil;Brasil;Bancos;O BRB é uma instituição financeira de economia mista, controlada pelo Governo do Distrito Federal, organizada sob a forma de banco múltiplo;Fase Operacional;1993-09-24;Estatal;;31;12;2010-12-31;www.brb.com.br
00.001.180/0001-26;2015-01-01;1;45470;CENTRAIS ELETRICAS BRASILEIRAS SA;;;1962-06-11;002437;1971-01-28;Categoria A;2010-01-01;Ativo;1971-01-28;Brasil;Brasil;Energia Elétrica;Empresa Holding de Geração, Transmissão e Distribuição de Energia;Fase Operacional;1971-01-28;Estatal Holding;1962-06-11;31;12;1962-06-11;www.eletrobras.com
00.070.698/0001-11;2015-01-01;8;51996;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1994-03-15;COMPANHIA DE ELETRICIDADE DE BRASILIA;1968-12-16;014451;1994-07-04;Categoria A;2010-01-01;Ativo;1994-07-04;Brasil;Brasil;Energia Elétrica;HOLDING - GERAÇÃO E DISTRIBUIÇÃO DE ENERGIA ELÉTRICA;Fase Operacional;1994-07-04;Estatal;;31;12;2009-04-30;www.ceb.com.br
00.115.890/0001-87;2015-01-01;2;48342;SHOPPING CENTER TACARUNA SA;;;1994-07-15;015733;1996-09-11;Categoria B;2010-01-01;Ativo;1996-09-11;Brasil;Brasil;Emp. Adm. Part. - Comércio (Atacado e Varejo);Securitização - Empreendimento Shopping Center Tacaruna;Fase Operacional;1998-10-08;Privado;;31;12;;
00.185.475/0001-08;2015-01-01;2;46645;PARCOM PARTICIPACOES SA;;;1994-08-18;014680;1994-12-22;Categoria A;2010-01-01;Ativo;1994-12-22;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;PARTICIPAÇÃO EM OUTRAS SOCIEDADES.;Fase Operacional;2012-12-27;Privado Holding;2007-09-26;31;12;;www.parcomparticipacoes.com.br/home/index.aspx
00.192.769/0001-59;2015-01-01;2;46616;NEUMARKT TRADE AND FINANCIAL CENTER S/A;;NEUMARKT TRADE AND FINACIAL CENTER SA;1994-08-23;014613;1994-10-27;Categoria B;2010-01-01;Ativo;1994-10-27;Brasil;Brasil;Crédito Imobiliário;Aluguel de imóveis próprios;Fase Operacional;1994-10-27;Privado Holding;;31;12;;
00.249.786/0001-85;2015-01-01;2;46646;FORPART SA;;;1994-08-23;014796;1995-02-21;Categoria A;2010-01-01;Ativo;1995-02-21;Brasil;Brasil;Emp. Adm. Part. - Telecomunicações;PARTICIPAÇÃO EM OUTRAS SOCIEDADES.;Fase Operacional;2012-12-27;Privado Holding;1996-12-23;31;12;;www.forpart.com.br/home/index.aspx
00.272.185/0001-93;2015-01-01;1;44235;CIMS SA;;;1994-10-18;014818;1995-03-14;Categoria A;2010-01-01;Ativo;1995-03-14;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Participação no Capital de Outras Empresas;Fase Operacional;1995-03-14;Privado;;31;12;;www.cims.com.br
00.336.701/0001-04;2015-01-01;4;51234;TELEC. BRASILEIRAS S.A. - TELEBRÁS;;;1972-11-09;011258;1981-01-21;Categoria A;2010-01-01;Ativo;1981-01-21;Brasil;Brasil;Telecomunicações;Consecução dos objetivos previstos no Programa Nacional de Banda Larga - (Dec. 7.175 de 12/05/2010);Fase Operacional;1981-01-21;Estatal;2012-07-04;31;12;;www.telebras.com.br
00.354.053/0001-00;2015-01-01;3;47583;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - em recuperação judicial;2015-05-15;LOJAS ARAPUÃ S/A - em recuperação judicial;1995-05-23;015083;1995-10-09;Categoria A;2010-01-01;Ativo;1995-10-09;Brasil;Brasil;Comércio (Atacado e Varejo);Comércio, por atacado e varejo de, entre outros, aparelhos elétricos e eletrônicos, material óptico, fotográfico, utensílisos e aparelhos para uso em geral, acessórios do vestuário de uso comum e etc.;Fase Operacional;2009-10-27;Privado;1995-09-18;31;12;2014-12-31;www.koscom.com.br
00.359.742/0001-08;2015-01-01;4;50888;ATOM Participações S.A.;2015-09-25;INEPAR TELECOMUNICAÇÕES S.A.;1994-12-20;015423;1996-02-28;Categoria A;2010-01-01;Ativo;1996-02-28;Brasil;Brasil;Telecomunicações;Participação em empresas do setor de telecomunicações.;Paralisada;2014-09-15;Privado;2015-05-25;31;12;;www.atompar.com.br
00.383.281/0001-09;2015-01-01;1;43610;BNDES PARTICIPAÇÕES S.A. - BNDESPAR;1982-06-30;FIBASE;1974-09-04;016772;1998-01-13;Categoria B;2010-01-01;Ativo;1998-01-14;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;;Fase Operacional;1998-01-14;Estatal;;31;12;;http://www.bndes.gov.br
00.514.998/0001-42;2015-01-01;1;43524;ELETRON SA;;;1995-01-25;016209;1997-04-15;Categoria A;2010-01-01;Ativo;1997-04-15;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Participação em outras sociedades.;Fase Operacional;1997-04-15;Privado;2004-03-02;31;12;1995-01-25;http://www.eletronnet.com.br/home/index.aspx
00.545.378/0001-70;2015-01-01;2;47702;SERRA AZUL WATER PARK SA;;;1995-03-09;014966;1995-07-26;Categoria A;2010-01-01;Ativo;1995-07-26;Brasil;Brasil;Emp. Adm. Part. - Brinquedos e Lazer;Administração e Exploração de Parque Aquático;Fase Operacional;2001-03-31;Privado;2009-10-02;31;12;2009-12-31;www.wetnwild.com.br
00.622.416/0001-41;2015-01-01;3;51078;Statkraft Energias Renováveis S.A.;2015-07-13;Desenvix Energias Renováveis S.A.;1995-05-19;022594;2011-09-19;Categoria A;2011-09-19;Ativo;2011-09-19;Brasil;Brasil;Energia Elétrica;A Companhia atua no ramo de geração de energia elétrica por meio de fontes renováveis e, ainda, transmissão de energia elétrica.;Fase Operacional;1995-05-19;Privado Holding;2012-02-08;31;12;1995-05-19;www.desenvix.com.br
00.644.907/0001-93;2015-01-01;2;49469;INVESTCO S/A;;;1995-05-31;018589;2000-02-04;Categoria A;2010-01-01;Ativo;2000-02-04;Brasil;Brasil;Energia Elétrica;Geração de Energia Elétrica;Fase Operacional;2001-12-31;Privado;;31;12;;www.investco.com.br
00.649.881/0001-76;2015-01-01;1;44773;GTD PARTICIPACOES SA;1995-05-29;;1995-05-29;014915;1995-06-27;Categoria A;2010-01-01;Ativo;1995-06-27;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;A GTD é uma holding que tem por atividade a participação como acionista da EDP - Energias do Brasil S.A., que por sua vez é uma companhia que do setor de energia.;Fase Operacional;2000-12-31;Privado;1997-12-31;31;12;;www.gtdbrasil.com.br
00.743.065/0001-27;2015-01-01;4;49120;LITEL PARTICIPACOES SA;;;1995-07-21;015091;1995-10-18;Categoria A;2010-01-01;Ativo;1995-10-18;Brasil;Brasil;Emp. Adm. Part. - Extração Mineral;;Fase Operacional;2000-12-31;Privado;1997-04-24;31;12;;www.litelbrasil.com.br
00.776.574/0001-56;2015-01-01;2;50255;B2W - COMPANHIA DIGITAL;2013-04-30;B2W - COMPANHIA GLOBAL DO VAREJO;2006-12-13;020990;2007-07-26;Categoria A;2010-01-01;Ativo;2007-07-26;Brasil;Brasil;Comércio (Atacado e Varejo);Comércio varejista e atacadista em geral de quaisquer bens e serviços através de diversos meios, em especial da Internet, sem restrição a outros meios.;Fase Operacional;2007-07-26;Privado;2005-08-31;31;12;;http://www.b2wdigital.com
00.861.626/0001-92;2015-01-01;1;43568;CONCESSIONÁRIA RODOVIA PRESIDENTE DUTRA S/A;;;1995-10-02;019577;2004-08-16;Categoria B;2010-01-01;Ativo;2004-08-16;Brasil;Brasil;Emp. Adm. Part. - Serviços Transporte e Logística;Concessionárias de rodovias, pontes, túneis e serviços relacionados.;Fase Operacional;2004-08-16;Privado Holding;2001-06-22;31;12;;www.novadutra.com.br
00.864.214/0001-06;2015-01-01;2;46374;ENERGISA SA;1998-02-25;SIDEPAR PARTICIPAÇÕES S.A.;1995-08-09;015253;1995-12-20;Categoria A;2010-01-01;Ativo;1995-12-20;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;Sociedade de participações em outras empresas, predominantemente em distribuidoras de energia elétrica.;Fase Operacional;2001-03-31;Privado Holding;1995-08-09;31;12;1995-08-09;www.energisa.com.br
00.866.577/0001-80;2015-01-01;1;43820;SAUIPE SA;;;1998-07-17;015261;1995-12-20;Categoria A;2010-01-01;Ativo;1995-12-20;Brasil;Brasil;Hospedagem e Turismo;DESENVOLVIMENTO DO COMPLEXO TURÍSTICO DE SAUÍPE.;Fase Operacional;1998-10-08;Privado;2012-08-09;31;12;;www.costadosauipe.com.br
00.897.864/0001-58;2015-01-01;3;103035;SANTA CATARINA PART INVEST SA;;;1995-11-07;015199;1995-12-13;Categoria B;2010-01-01;Ativo;1995-12-13;Brasil;Brasil;Emp. Adm. Part. - Intermediação Financeira;;Fase Operacional;1995-12-13;Estatal;;31;12;;
00.924.429/0001-75;2015-01-01;2;50390;FERROVIA CENTRO ATLANTICA SA;1996-06-28;VASSOURAS PARTICIPAÇÕES S/A;1995-08-14;015369;1996-02-12;Categoria A;2010-01-01;Ativo;1996-02-12;Brasil;Brasil;Serviços Transporte e Logística;Serviço de Transporte Ferroviário;Fase Operacional;1996-02-12;Privado;;31;12;;www.fcasa.com.br
00.924.432/0001-99;2015-01-01;5;51869;HOPI HARI SA;2002-04-30;PARQUE TEMÁTICO PLAYCENTER S/A;1995-08-14;015377;1996-02-13;Categoria A;2010-01-01;Ativo;2015-10-21;Brasil;Brasil;Hospedagem e Turismo;93.21-2-00 - Parques de diversão e parques temáticos;Fase Operacional;1999-11-27;Privado;2009-06-18;31;12;;www.hopihari.com.br
00.938.574/0001-05;2015-01-01;2;46300;CONCESSIONARIA RIO-TERESOPOLIS SA;;;1995-11-07;019208;2001-12-26;Categoria A;2010-01-01;Ativo;2001-12-26;Brasil;Brasil;Serviços Transporte e Logística;Administração, Operação e Conservação de Rodovia;Fase Operacional;2001-12-26;Privado;1995-11-07;31;12;;www.crt.com.br
00.979.969/0001-56;2015-01-01;3;51442;CAIXA ADM DIV PUB ESTADUAL SA;1995-12-28;;1995-12-28;015717;1996-09-04;Categoria B;2010-01-01;Ativo;1996-09-04;Brasil;Brasil;Intermediação Financeira;Emitir e colocar no mercado obrigações, adquirir, alienar e dar em garantia ativos, créditos, títulos e valores mobiliários.;Fase Operacional;1996-09-04;Estatal;1995-12-28;31;12;;http://www.cadip.com.br
00.994.533/0001-36;2015-01-01;4;50993;COMERCIAL QUINTELLA COM EXP SA - Em Liquidação;1996-01-22;COMERCIAL QUINTELLA COM EXP LTDA;1985-03-12;015652;1996-07-18;Categoria A;2010-01-01;Ativo;1996-07-18;Brasil;Brasil;Serviços Transporte e Logística;Transporte Multimodal de Cargas e Comércio;Em Liquidação Extrajudicial;1996-07-18;Privado;1996-05-20;31;12;;www.comercialquintella.com.br
01.027.058/0001-91;2015-01-01;2;51337;Cielo S.A.;2009-12-14;Cia Brasileira de Meios de Pagamento;1995-11-23;021733;2009-06-25;Categoria A;2010-01-01;Ativo;2009-06-25;Brasil;Brasil;Intermediação Financeira;Empresa prestadora de serviços de adquirência e meios de pagamento.;Fase Operacional;2009-06-25;Privado;2009-06-29;31;12;;www.cielo.com.br
01.083.200/0001-18;2015-01-01;6;50671;NEOENERGIA S.A;2004-10-13;GUARANIANA S.A.;1996-02-14;015539;1996-05-08;Categoria A;2010-01-01;Ativo;1996-05-08;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;Participação em outras sociedades;Fase Operacional;2001-03-31;Privado;;31;12;;www.neoenergia.com
01.104.937/0001-70;2015-01-01;3;47575;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;2008-09-02;LIGHT PARTICIPAÇÕES S.A - LIGHTPAR;1996-01-20;015784;1996-09-30;Categoria A;2010-01-01;Ativo;1996-09-30;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;A ELETROPAR tem por objeto social principal a participação no capital social da ELETROPAULO - Eletricidade de São Paulo S.A., concessionária de serviços pub. de energia elét., e de outras sociedades.;Fase Operacional;1996-09-30;Estatal Holding;;31;12;;www.eletrobraspar.com
01.258.943/0001-81;2015-01-01;2;46905;ITAITINGA PARTICIPACOES SA;2004-04-30;Saquarema Participações S.A.;1996-04-30;015865;1996-11-07;Categoria A;2010-01-01;Ativo;1996-11-07;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;A Companhia tem por objeto social a participação em outras sociedades, comerciais e civis, como sócia, acionista ou quotista, no país ou no exterior.;Fase Operacional;1996-11-07;Privado Holding;2004-04-30;31;12;1996-04-30;www.itaitinga.net.br
01.258.944/0001-26;2015-01-01;3;46725;ALL - AMÉRICA LATINA LOGÍSTICA MALHA SUL S.A.;2008-06-23;ALL - América Latina Logística do Brasil S.A.;1996-04-30;015709;1996-08-29;Categoria B;2010-01-01;Ativo;1996-08-29;Brasil;Brasil;Serviços Transporte e Logística;Prestar serviço de transporte ferroviário e armazenagens de cargas.;Fase Operacional;1996-08-29;Privado;1999-04-03;31;12;;www.all-logistica.com
01.258.945/0001-70;2015-01-01;2;46886;GRUÇAI PARTICIPAÇÕES SA;1996-04-30;;1996-04-30;015695;1996-08-28;Categoria A;2010-01-01;Ativo;1996-08-28;Brasil;Brasil;Emp. Adm. Part. - Serviços Transporte e Logística;A Companhia tem por objeto social a participação em outras sociedades, comerciais e civis, como sócia, acionista ou quotista, no país ou no exterior.;Fase Operacional;1996-08-28;Privado Holding;2010-04-19;31;12;2014-12-31;www.grucai.net.br
01.319.044/0001-41;2015-01-01;2;47175;WTC AMAZONAS SUITE HOTEL S.A.;2000-12-21;WTC BRASILIA EMPREENDIMENTOS E PARTICIPACOES S.A.;1996-06-01;015741;1996-09-18;Categoria B;2012-03-12;Ativo;1996-09-18;Brasil;Brasil;Hospedagem e Turismo;HOTELARIA E TURISMO;Fase Pré-Operacional;1996-09-18;Privado;2006-04-28;31;12;;
01.414.107/0001-49;2015-01-01;2;52425;ENERGIPAR PARTICIPAÇÕES S.A.;2008-05-29;ENERGIPAR CAPTAÇÃO S/A;1996-08-05;015849;1996-11-04;Categoria B;2010-06-18;Ativo;1996-11-04;Brasil;Brasil;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;(a) emitir debêntures simples, da espécie subordinada (i) destinadas à distribuição pública no mercado de valores mobiliários e (ii) destinadas à subscrição privada pela CNO.;Fase Operacional;2000-12-31;Privado;;31;12;;www.cvm.gov.br
01.417.222/0001-77;2015-01-01;2;46783;MRS LOGÍSTICA S/A;;;1996-08-30;017949;1998-11-13;Categoria A;2010-01-01;Ativo;1998-11-13;Brasil;Brasil;Serviços Transporte e Logística;Serviços de Transporte Ferroviário de Cargas;Fase Operacional;1998-11-13;Privado;2006-04-11;31;12;;www.mrs.com.br
01.545.826/0001-07;2015-01-01;2;48044;GAFISA SA;1997-12-16;inhauma participações s.a;1996-11-12;016101;1997-02-21;Categoria A;2010-01-01;Ativo;1997-02-21;Brasil;Brasil;Construção Civil, Mat. Constr. e Decoração;;Fase Operacional;1997-02-21;Estrangeiro;;31;12;;www.gafisa.com.br
01.547.749/0001-16;2015-01-01;5;50332;521 PARTICIPAÇÕES S/A - EM LIQUIDAÇÃO EXTRAJUDICIAL;2015-04-30;521 PARTICIPAÇÕES S/A;1996-07-30;016330;1997-07-11;Categoria B;2011-04-28;Ativo;1997-07-11;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;Participação direta ou indireta em outras sociedades, empreendimentos e consórcios, como acionistas, sócia, quotista ou consorciada.;Em Liquidação Extrajudicial;2000-12-31;Privado;1998-04-07;31;12;;
01.548.981/0001-79;2015-01-01;4;47757;INVESTIMENTOS BEMGE S.A.;2001-04-24;Financeira Bemge S.A. Crédito, Financiamento e Investimento;1964-03-05;006041;1977-07-20;Categoria A;2010-01-01;Ativo;1977-07-20;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Investimentos;Fase Operacional;1966-09-27;Privado;;31;12;;www.investimentosbemge.com.br
01.608.571/0001-76;2015-01-01;1;43527;BELAPART SA;;;1997-04-23;016233;1997-04-23;Categoria A;2010-01-01;Ativo;1997-04-23;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Participação em outras sociedades.;Fase Operacional;1997-04-23;Privado;2004-03-02;31;12;1997-04-23;www.belapart.com.br/home/index.aspx
01.616.929/0001-02;2015-01-01;1;47963;SANEAMENTO DE GOIAS SA;1967-09-13;;1967-09-13;019186;2001-12-11;Categoria B;2010-01-01;Ativo;2001-12-11;Brasil;Brasil;Saneamento, Serv. Água e Gás;;Fase Operacional;2001-12-11;Estatal;;31;12;2014-12-31;www.saneago.com.br
01.654.604/0001-14;2015-01-01;2;46504;CONCES DA ROD OSÓRIO-POA S/A - CONCEPA;;;1997-02-06;017590;1998-08-11;Categoria B;2010-06-02;Ativo;1998-08-11;Brasil;Brasil;Serviços Transporte e Logística;Concessionária da Rodovia BR 290 com cobrança de pedágio;Fase Operacional;1998-08-11;Privado;;31;12;;www.concepa.com.br
01.772.313/0001-20;2015-01-01;1;43552;VALETRON SA;;;1997-04-14;016225;1997-04-23;Categoria A;2010-01-01;Ativo;1997-04-23;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Participações em outras sociedades.;Fase Operacional;1997-04-23;Privado;2004-03-02;31;12;1997-04-14;http://www.valetron.com.br/home/index.aspx
01.838.723/0001-27;2015-01-01;4;52295;BRF - BRASIL FOODS SA;2012-12-31;BRF - BRASIL FOODS S.A.;1934-08-18;016292;1997-06-24;Categoria A;2010-01-01;Ativo;1997-06-24;Brasil;Brasil;Emp. Adm. Part. - Alimentos;Holding Operacional;Fase Operacional;2001-03-31;Privado;2010-04-27;31;12;2010-12-31;www.brf-br.com
01.851.771/0001-55;2015-01-01;2;43542;524 PARTICIPAÇOES SA;;;1997-04-02;016284;1997-05-30;Categoria A;2010-01-01;Ativo;1997-05-30;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Holding - participação em outras sociedades;Fase Operacional;1997-05-30;Privado;1997-07-18;31;12;1997-04-02;http://www.524participacoes.com.br/home/index.aspx
01.858.774/0001-10;2015-01-01;2;48147;BV LEASING - ARRENDAMENTO MERCANTIL S/A;;;1996-10-23;020133;2006-06-23;Categoria B;2010-01-01;Ativo;2006-06-23;Brasil;Brasil;Arrendamento Mercantil;Arrendamento Mercantil;Fase Operacional;2006-06-23;Privado;;31;12;2011-12-31;www.bancovotorantim.com.br
01.896.779/0001-38;2015-01-01;1;44870;CSU CARDSYSTEM S/A;1998-08-27;CARDSYSTEM UPSI S/A;1997-04-18;020044;2006-04-25;Categoria A;2010-01-01;Ativo;2006-04-25;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Terceirização em administração e processamento de meios eletrônicos de pagamento, Infraestrutura e gestão em terceirização de contact center, Desenvolvimento e gestão operacional de programas market;Fase Operacional;2006-04-25;Privado;2006-04-25;31;12;2010-12-31;www.csu.com.br
01.917.705/0001-30;2015-01-01;2;45810;AES ELPA SA;2001-11-21;AES Elpa Ltda;1997-06-23;019313;2002-10-14;Categoria A;2010-01-01;Ativo;2002-10-14;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;O objeto social da Companhia é a participação em outras sociedades como quotista, acionista ou membro de consórcio.;Fase Operacional;2002-10-14;Privado Holding;1997-06-23;31;12;;www.aeselpa.com.br
01.917.818/0001-36;2015-01-01;2;44490;LIGHT ENERGIA S.A.;2005-11-30;Light Energy S.A;1997-06-23;023000;2013-01-11;Categoria B;2013-01-11;Ativo;2013-01-11;Brasil;Brasil;Energia Elétrica;estudar,planejar,construir,operar e explorar sistemas de geração e transmissão,comercialização de energia elétrica e serviços correlatos que lhe tenham sido ou venham a ser concedidos ou autorizados.;Fase Operacional;2013-01-11;Privado;2006-01-13;31;12;;www.lightenergia.com.br
01.938.783/0001-11;2015-01-01;1;45360;CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA;;;1997-05-14;018708;2000-07-26;Categoria A;2010-01-01;Ativo;2000-07-26;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Participações em outras sociedades, na qualidade de sócia e/ou quotista e administração de bens próprios;Fase Operacional;2000-07-26;Privado;;31;12;;http://www.aliancaparticipacoes.com.br
01.957.772/0001-89;2015-01-01;2;47379;SUL 116 PARTICIPAÇÕES S.A.;2005-02-10;OPPORTUNITY SUL 116;1997-06-05;016438;1997-09-03;Categoria A;2010-01-01;Ativo;1997-09-03;Brasil;Brasil;Emp. Adm. Part. - Telecomunicações;participação em outras sociedades, comerciais ou civis, nacionais ou estrangeiras, como sócia. acionista ou quotista e a participação, como quotista, em fundos de investimento constuidos regularmente;Fase Operacional;1997-09-03;Privado Holding;2009-07-30;31;12;;http://sul116participacoes.mzweb.com.br
01.971.614/0001-83;2015-01-01;2;47881;EMP.NAC.C., RÉDITO E PART. S.A. ENCORPAR;;;1997-05-30;016497;1997-10-07;Categoria A;2010-01-01;Ativo;1997-10-07;Brasil;Brasil;Emp. Adm. Part. - Têxtil e Vestuário;Holding;Fase Operacional;1997-10-07;Privado;;31;12;;http://www.encorpar.com.br/
01.989.044/0001-59;2015-01-01;2;47181;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;;;1997-06-16;016551;1997-10-30;Categoria B;2013-07-19;Ativo;1997-10-31;Brasil;Brasil;Hospedagem e Turismo;HOTELARIA E TURISMO;Fase Pré-Operacional;1997-10-31;Privado;2002-07-29;31;12;;
02.016.439/0001-38;2015-01-01;4;52273;RIO GRANDE ENERGIA SA;1997-12-09;CIA NORTE NORDESTE DISTRIB.EN.ELÉTRICA;1997-07-28;016535;1997-10-13;Categoria B;2010-01-01;Ativo;1997-10-13;Brasil;Brasil;Energia Elétrica;PRESTAÇÃO DE SERVIÇO PÚBLICO DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA;Fase Operacional;1997-10-13;Privado;2007-12-18;31;12;;www.cpfl.com.br
02.016.440/0001-62;2015-01-01;3;51095;AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.;1997-12-01;Companhia Centro-Oeste de Distribuição de Energia Elétrica;1997-07-28;016527;1997-10-13;Categoria B;2010-01-01;Ativo;1997-10-13;Brasil;Brasil;Energia Elétrica;Distribuição de Energia Elétrica;Fase Operacional;1997-10-13;Privado Holding;1997-10-21;31;12;;www.aessul.com.br
02.062.747/0001-08;2015-01-01;1;43533;SUDESTE SA;2009-05-08;Opportunity Sudeste S.A.;1997-07-22;016586;1997-11-10;Categoria A;2010-01-01;Ativo;1997-11-10;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Participação em outras sociedades.;Fase Operacional;2003-08-31;Privado;2009-05-07;31;12;2009-05-08;http://www.sudestenet.com.br/home/index.aspx
02.084.220/0001-76;2015-01-01;1;43567;NUMERAL 80 PARTICIPAÇÕES S.A.;2011-12-19;Santos-Brasil S.A.;1997-09-05;016446;1997-09-16;Categoria A;2010-01-01;Ativo;1997-09-16;Brasil;Brasil;Emp. Adm. Part. - Serviços Transporte e Logística;A Companhia tem por objeto participar de outras sociedades.;Fase Operacional;1997-09-16;Privado;2007-10-24;31;12;;www.santosbrasil.com.br
02.105.040/0001-23;2015-01-01;2;46728;CIBRASEC CIA BRASILEIRA DE SECURITIZAÇÃO;;;1997-07-31;018287;1999-05-31;Categoria B;2012-05-22;Ativo;1999-05-31;Brasil;Brasil;Securitização de Recebíveis;Consiste em um processo financeiro estruturado através do qual créditos são adquiridos e transformados em valores mobiliários (CRI ou CRA) a serem negociados no mercado financeiro e de capitais.;Fase Operacional;1999-05-31;Privado;;31;12;;www.cibrasec.com.br
02.107.946/0001-87;2015-01-01;1;45279;TELEMAR PARTICIPAÇÕES SA;1998-10-09;GUANACO PARTICIPAÇÕES S/A;1997-07-29;018678;2000-07-11;Categoria B;2010-01-01;Ativo;2000-07-11;Brasil;Brasil;Emp. Adm. Part. - Telecomunicações;Administração e Participação;Fase Operacional;2000-07-11;Privado;2012-03-13;31;12;2013-12-31;www.telemar-participacoes.com.br
02.117.801/0001-67;2015-01-01;5;52262;BONAIRE PARTICIPAÇOES SA;;;1997-08-29;016560;1997-11-03;Categoria A;2010-01-01;Ativo;1997-11-03;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;;Fase Operacional;2000-12-31;Privado;1997-11-04;31;12;;www.bonairebrasil.com.br
02.149.205/0001-69;2015-01-01;2;46087;PORTO SEGURO SA;;;1997-09-22;016659;1997-11-28;Categoria A;2010-01-01;Ativo;1997-11-28;Brasil;Brasil;Emp. Adm. Part. - Seguradoras e Corretoras;Gestão de Participações Societárias (holding);Fase Operacional;1997-11-28;Privado;2009-11-30;31;12;;www.portoseguro.com.br
02.162.616/0001-94;2015-01-01;3;50446;UPTICK PARTICIPACOES SA;;;1997-09-08;016624;1997-11-19;Categoria A;2010-01-01;Ativo;1997-11-19;Brasil;Brasil;Emp. Adm. Part. - Energia Elétrica;;Fase Operacional;2000-12-31;Privado;1997-11-25;31;12;;www.uptickbrasil.com.br
02.193.750/0001-52;2015-01-01;1;44215;GPC PARTICIPACOES SA;;;1997-10-01;016632;1997-11-20;Categoria A;2010-01-01;Ativo;1997-11-21;Brasil;Brasil;Emp. Adm. Part. - Petroquímicos e Borracha;;Em Recuperação Judicial ou Equivalente;2013-04-09;Privado Holding;2011-08-12;31;12;2010-12-31;www.gpc.com.br
02.201.787/0001-85;2015-01-01;1;45642;CEL PARTICIPAÇÕES S.A. - CELPAR;;;1997-09-10;016675;1997-12-01;Categoria B;2010-01-01;Ativo;1997-12-02;Brasil;Brasil;Emp. Adm. Part. - Educação;PARTICIPAÇAO EM INSTITUIÇÃO DE EDUCAÇAO - LICEU FRANCO BRASILEIRO SA;Fase Operacional;2000-12-31;Privado;1997-09-10;31;12;2014-12-31;
02.217.319/0001-07;2015-01-01;2;46571;ALEF SA;2009-05-08;Opportunity Alef S.A.;1997-10-06;016705;1997-12-08;Categoria A;2010-01-01;Ativo;1997-12-08;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;Holding - participação em outras sociedades;Fase Operacional;2003-03-31;Privado;2008-03-28;31;12;1997-10-06;http://www.alefnet.com.br/home/index.aspx
02.221.531/0001-30;2015-01-01;3;46891;RODONORTE - CONC. ROD. INTEGRADAS S.A.;;;1997-11-03;019151;2001-11-12;Categoria B;2010-01-01;Ativo;2001-11-12;Brasil;Brasil;Serviços Transporte e Logística;Concessão de rodovias do PR, Anel de integração, lote 05.;Fase Operacional;2001-11-12;Privado;2000-04-27;31;12;;www.rodonorte.com.br
